property_name,society,bedRoom,bathroom,balcony,additionalRoom,facing,agePossession,sector,price in crore,SuperBuildUp_adjusted_area,adjusted_price_per_sqft,Others,Pooja Room,Servant Room,Store Room,Study Room,unavailable,floor,furnish_score,furnish_category,features_score,features_category,rating_sum
3 BHK Flat,Sare Green Parc,3.0,2.0,2,unavailable,unavailable,unknown,Sector 92 Gurgaon,0.85,1387.1000000000001,6127.8927258308695,0,0,0,0,0,1,14.0,-1.0,Unavailable,0.0,Minimal,20.0
5 BHK Flat,Residency Grand,5.0,7.0,3+,"Pooja Room,Servant Room",East,mid-age,Sector 52 Gurgaon,5.0,7428.571428571429,6730.7692307692305,0,0,0,0,0,1,1.0,-1.0,Unavailable,11.5,Basic,20.0
3 BHK Flat,Godrej Oasis39 ,3.0,3.0,3,unavailable,unavailable,new,Sector 88A Gurgaon,1.45,2562.857142857143,5657.748049052397,0,0,0,0,1,0,12.0,28.0,Medium,13.5,Basic,23.5
4 BHK Flat,Godrej Air,4.0,5.0,3+,"Pooja Room,Study Room,Others",North-East,under construction,Sector 85 Gurgaon,2.5,25888.57142857143,965.6770775852553,0,0,0,0,0,1,16.0,40.5,Fancy,11.5,Basic,19.5
3 BHK Flat,Smart World Gems,3.0,3.0,3,Pooja Room,North,under construction,Sector 89 Gurgaon,1.25,1565.3000000000002,7985.689644157668,0,0,0,0,0,1,2.0,-1.0,Unavailable,6.0,Minimal,20.0
3 BHK Flat,SS Residency,3.0,2.0,2,unavailable,unavailable,mid-age,Dayanand Colony,0.48,142.85714285714286,33600.0,0,0,0,0,0,1,2.0,-1.0,Unavailable,9.5,Minimal,20.0
3 BHK Flat,Ireo The Corridors,3.0,3.0,3,Study Room,unavailable,newly built,Sector 67A Gurgaon,2.0,1925.0000000000002,10389.610389610389,0,0,1,0,0,0,12.0,-1.0,Unavailable,12.0,Basic,20.0
1 BHK Flat,Imperia Elvedor,1.0,1.0,No,unavailable,unavailable,unknown,Sector 37C Gurgaon,0.55,735.9000000000001,7473.841554559042,0,0,1,0,0,0,5.0,28.0,Medium,0.0,Minimal,20.0
2 BHK Flat,HCBS Sports Ville36 ,2.0,2.0,1,unavailable,unavailable,newly built,Sohna,0.32,828.5714285714287,3862.068965517241,0,0,0,0,0,1,7.0,-1.0,Unavailable,9.0,Minimal,25.0
2 BHK Flat,Ansal Heights 86,2.0,2.0,1,unavailable,unavailable,newly built,Sector 86 Gurgaon,0.82,1942.857142857143,4220.588235294117,1,0,0,0,0,0,12.0,-1.0,Unavailable,13.5,Basic,19.0
